,y_true,y_pred
0,6,6
1,6,6
2,6,6
3,6,6
4,6,3
5,6,6
6,6,6
7,6,6
8,6,6
9,6,6
10,6,6
11,6,6
12,6,6
13,6,6
14,6,6
15,6,6
16,6,6
17,6,6
18,6,6
19,6,6
20,6,6
21,6,6
22,6,6
23,6,6
24,6,6
25,6,6
26,6,3
27,6,6
28,6,6
29,6,0
30,6,6
31,6,6
32,6,6
33,6,6
34,6,6
35,6,6
36,6,6
37,6,6
38,6,6
39,6,6
40,6,6
41,6,6
42,6,6
43,6,6
44,6,6
45,6,6
46,6,6
47,6,6
48,6,6
49,6,6
50,6,6
51,6,6
52,6,6
53,6,6
54,6,6
55,6,0
56,6,6
57,6,6
58,6,6
59,6,6
60,6,6
61,6,6
62,6,3
63,6,6
64,6,6
65,6,6
66,6,6
67,6,6
68,6,3
69,6,6
70,6,6
71,6,6
72,6,3
73,6,3
74,6,6
75,6,6
76,6,6
77,6,6
78,6,6
79,6,6
80,6,6
81,6,6
82,6,6
83,6,6
84,6,6
85,6,6
86,6,6
87,6,6
88,6,6
89,6,6
90,6,3
91,6,3
92,6,6
93,6,6
94,6,6
95,6,6
96,6,6
97,6,6
98,6,6
99,6,6
100,6,6
101,6,0
102,6,0
103,6,0
104,6,6
105,6,6
106,6,6
107,6,6
108,6,6
109,6,6
110,6,6
111,6,6
112,6,6
113,6,6
114,6,6
115,6,0
116,6,6
117,6,6
118,6,6
119,6,6
120,6,6
121,6,6
122,6,6
123,6,6
124,6,0
125,6,0
126,6,0
127,6,6
128,6,0
129,6,0
130,6,6
131,6,6
132,6,6
133,6,6
134,6,6
135,6,6
136,6,6
137,6,6
138,6,6
139,6,6
140,6,6
141,6,6
142,6,6
143,6,6
144,6,6
145,6,6
146,6,6
147,6,6
148,6,6
149,6,6
150,6,6
151,6,6
152,6,6
153,6,6
154,6,3
155,6,6
156,6,6
157,6,6
158,6,6
159,6,3
160,6,3
161,6,3
162,6,6
163,6,6
164,6,3
165,6,6
166,6,3
167,6,3
168,6,3
169,6,3
170,6,3
171,6,3
172,6,6
173,6,6
174,6,6
175,6,6
176,6,6
177,6,6
178,6,0
179,6,0
180,6,0
181,6,0
182,6,0
183,6,0
184,6,6
185,3,3
186,3,3
187,3,3
188,3,3
189,3,3
190,3,3
191,3,3
192,3,3
193,3,3
194,3,3
195,3,3
196,3,3
197,3,3
198,3,3
199,3,3
200,3,3
201,3,3
202,3,3
203,3,3
204,3,3
205,3,3
206,3,3
207,3,3
208,3,3
